sentiment,review
negative,"I wanted to love this. I was even prepared for it to be somewhat like a cheap Circle K Cappuccino. Unfortunately, the product itself is really greasy. You actually see grease in the cup. It is 80 calories per serving and the taste it really really powder tasting, like powdered milk. I wasn't expecting a Starbucks Cap out of the K-Cup, but I was expecting a little more than this.<br /><br />I read the reviews and they were sort of mixed, so I chose to try it, but I won't buy these again. They will sit on the top cupboard shelf till i am desperate I guess or throw them away. Three boxes of them... EESSSH<br /><br />I also now realize these aren't eligible for return... so that sucks. Oh well, buyer beware, right!"
positive,Grove Square Cappuccino Cups were excellent. Tasted really good right from the Keurig brewer with nothing added. wWould highly recommend. RCCJR
negative,"I bought the Grove Square hazelnut cappuccino k-cups, not expecting too much. What a pleasant surprise when I tasted that cup of coffee, it surprised even me, a harsh critic of cappuccino. It can be compared to the expensive cappuccino that I buy at the specialty coffee shops around town. Hey, send me some more, I've got guests coming and want to impress them."
negative,"I love my Keurig, and I love most of the Keurig coffees. This is instant coffee with instant milk and far too much sugar. I don't know anyone I dislike enough to dump the rest of the box on."
negative,It's a powdered drink. No filter in k-cup.<br />Just buy it in bulk and mix it with hot water....<br /><br />Nothing else to say here. Wont be buying it again.
negative,"don't bother! bet you couldn't tell the difference between this and hot water if your eyes were closed. well, maybe the water would have a taste!"
negative,"Never tasted this coffee before, I felt much too sweet even for dessert. I would not order again. But then that is only my opinion. My friend's husband loves it.<br />I gave them to him."
negative,"While the overall idea behind the product is laudable, they blew it by using sucralose instead of pure trustworthy cane sugar. The sweetener leaves an aftertaste that to me, tastes disgusting and ruins what would have otherwise been an enjoyable and flavorful cup of cappuccino. Will not be ordering this product again (or anything else sweetened with sugar-free alternatives)."
positive,"I bought a keurig and bought these to try. Well, my friends and family cleaned me out at Christmas and I had to reorder. People were asking to take them home for the next morning. They are sweet and satisfying. No additional milk or sugar needed."
positive,My husband and I LOVE this French Vanilla Cappuccino. Sooo glad I didn't listen to some of the reviews and took the plunge and bought it.
positive,"First of all, let me say that I LIKE the stuff from WaWa or other machines, so that is what I was looking for. I did not want some fancy cappuccino, but something comparable to the stuff I pay $1.50 for in the mornings. Well, this stuff was very good. VERY comparable to the machine cappuccino, sweet, smooth, good flavor. For under $10 a box it comes to around .40 a cup which is great compared to the $1.30+ at the store. I definitely would recommend it."
negative,"This is an instant product that's mostly cream and sugar. Yes I can taste the hazelnut, but smell it more than taste it. A small cup is way too sweet and the larger cup is weak. It's so sticky sweet that I run a large cup of water through my maker to make sure it doesn't clog my machine up. If you like the instant stuff you get from a machine at a convenience store then this is for you.<br /><br /><a href=""http://www.amazon.com/gp/product/B005K4Q37U"">Grove Square Cappuccino Cups, Hazelnut, Single Serve Cup for Keurig K-Cup Brewers, 24-Count</a>"
positive,"I also bought this product and I can tell you that I received my shipment in a timely manner and it was worth it!! This cappuccino tastes delicious with no additions like milk, cream or sugar. Just brew it by itself and enjoy the perfect combination of a great cappuccino. Absolutely worth the price and I saved a ton of $$$ by not purchasing from starbuck's.."
negative,This has to be the worst tasting coffee I have ever had in a k-cup. I buy a lot of k-cups this is the by far the worst. Don't waste your money on this product.
positive,I must say I got more than I expected in a cup of this cappuccino. It is rich and creamy and the flavor is great!
positive,"I first tried this at my mom and dad's house (in the Vanilla flavor) and was hooked. Then, after checking out the stats, I was even more hooked and ordered the Caramel right away. I do a low sugar or sugar free diet and this fits perfectly into my diet as a treat. With only 80 calories, 4.5 grams of fat and 5 sugars, it's a win/win situation for me. I do brew it with 10 oz of water instead of 8, otherwise it's just a little too sweet for me. All in all, I'm very happy with this product and will order more when I run out."
positive,Great product. Thanks! These have a wonderful flavor when you brew a cup of coffee. I like getting K-Cups from Amazon and trying new flavors.
positive,"Normally I don't care for coffee at all, but I absolutely loved these!<br /><br />My sister got one of the Keurig coffee machines, and there were samples of these included in the box. She told me that she thought I would like them, so I gave it a shot.<br /><br />She was right! I absolutely loved these, and after running out of the samples decided to order some from Amazon.<br /><br />For me, they were the perfect ammount of sweetness, and I didn't find there to be any weird artificial sweetner taste as some other reviwers have mentioned.<br /><br />Now I drink one of these every day. The only thing I prefer over these are the Caramel flavored ones (also from Grove Square).<br /><br />I would highly recommend these to everyone. Especially people who normally don't like coffee. A+ and 5 stars in my book!"
positive,I love these cappuccino's. I'm addicted to them and have one every morning with my Tully's dark roast coffee. Delicious.
positive,I love these k cups!! One of my favorites! I am someone who likes very light coffee which ends up making the coffee cold very fast and with these you don't need to add anything so it's great!!
positive,"This is so delicious, just like gas station cappuccino machines, which I love! I will definitely be reordering and trying other flavors."
positive,"I loved this Caramel Cappuccino. It reminds me of the taste of Tim Horton's Iced Cappuccino with the caramel flavoring. I made it hot and it was delicious. Then I made it with ice and it was even better!<br /><br />I was a little hesitant to buy this flavor because I saw a negative review and it came in a 36 count package. I didn't want to have to throw out that many Kcups if it was awful. I was pleasantly surprised.<br /><br />We just started using our Keurig a few days ago so we're still testing out all of the good flavors. I've got this on my list of Kcups to stock up on in the future! The Grove Square Caramel Cappuccino is our second favorite flavor at the moment; our favorite is the Celestial Seasonings Sweet Southern Tea.<br /><br />Note: This cappuccino is very sweet. We love sweet drinks so this is great for us. I think it's perfect. However, if you don't like sweet drinks, you may not care for this."
positive,one word OUTSTANDING!!!!!!!! for both Hot chocolate and cappuccino<br />they arrived very quickly and was an excellent value I look forward<br />to ordering again.
negative,These are only for people would want a little coffee with their cream and sugar. Will not purchase these again and Sorry I bought them.
positive,"this is a great product for your Keurig brewer, has a rich taste and I look forward to my nightly cup of this delightful beverage"
positive,"i tried this coffee when it was $ll for 24 k cups delicious. so i bought two more boxes and didn't sign up for monthly delivery, now i can't find where to sign up. and the price jumped to $28.99 for 24 cups. that's $1.20 per cup too pricey for this or any other kcup."
positive,I was very happy with the taste of this cappuccino! Unlike the coffee's which i find to be a little strong for my liking this item was perfect! With the coffee i always use the large cup option and add a ton of cream & sugar to make it where it isnt sooo strong. But the cappuccino is good even in the small cup option! It taste very much like what you buy at a good convenient store from one of their cappuccino machines! Looking forward to when this becomes available again so I can order more. You will really want to order this 3 pack instead of a single pack!
negative,"I do enjoy Hazelnut flavored creamers as well as french vanilla creamers in my coffee, I know the flavors aren't exact but since I enjoyed them in coffee I might like them in cappuccino as well. I love the french vanilla flavored variety they sell, so much so I've had to purchase additional (early) shipments from subscribe-n-save. Unfortunately the hazelnut isn't so great, and not b/c it's 'convenient store' cappuccino either. I prefer that over 'real' stuff. It smells wonderful, but just something in the flavor that's lacking and it leaves a weird after taste. Just wish I didn't buy the 36 count. Definately buy the French Vanilla variety if you are trying to choose between the two."
positive,"My wife loves it. It's too sweet for me, but I don't have to drink it. Reasonable price. Good shipping.<br /><br />Be careful or it can drip down and you'll find yourself growing something slimy and green out of sight."
positive,I bought the French Vanilla Cappuccino for my wife...she absolutely loved it. It actually has a nice froth on top when you make it...
positive,"I buy this for my grandson, he loves it. Started buying it because of the good price, but I see it is creeping up. Can't continue if it goes any higher."
positive,This cappucino is so good that all the employees at my office are drinking this now and want me to order more! And I was going to try to keep it all to myself!
positive,"This is exactly what I expected, its the same thing you get out of connivence store machines . For about 50 cents a cup I think its worth it and I ordered 2 more."
positive,"yes, this is flavored coffee already...but, it's a great base for some spiked refreshment. i like Carolans or Baileys, but Saint Brendans works well too. be sure you use a tall cup so you have room for the extra spirits. what could possibly go wrong with that! i'm signing up for a subscription with free shipping."
positive,"I am increasing my monthly order for this product. We tried it iced and it is delicious, but also love it hot."
positive,"We are not a coffee people in the least which made it strange when my husband and I decided to get a Keurig machine. However, we both love that cheap gas station ""cappuccino."" This is PERFECT. I'll be reordering again SOON."
positive,"I am not a Vanilla Cappuccino lover, but this is pretty good! My husband & friends love it. It is great for the price & like I told my DH~~~It's for sure better than a gas station cup of cappuccino & a lot cheaper."
positive,"We love this product. It's a smooth and flavorful Cappuccino. Had never heard of Grove Square before, but the price was great and I'm really glad we gave it a try"
positive,"I'm currently deployed and the taste of ""home"" in this Cappuccino was more than I bargained for! Finally a hot cup of Cappuccino that not only tasted great but gave me that little kick in the morning to get moving! Thanks Grove Square!!"
positive,"I Bought This Cappuccino Because of The Price.<br />My Wife and Son Went Through The 24 Pack in 2 Weeks.<br />I Have Other K-Cup Coffee's, This Is Their Favorite.<br />We Now Have it On Automatic Ship(Don't Want To Run Out)"
positive,"Like others said, if you like the ones that come out of the dispensers at the mini marts & gas stations then you should like this. I use the 10oz setting on my brewer so it doesn't water it down too much (it's a powdered mix like the hot chocolates). Also my wife is not a coffee drinker but liked this.<br /><br />Placed order when it was out of stock, but only took about week to arrive via prime."
negative,B005K4Q1YA This is just plain nasty tasting. Had to cancel subscription. The artificial sweetener is very overbearing and made the weak coffee taste like apple peelings.
positive,We were pleasantly surprised by how delicious this single serve Cappuccino was!! It is perfect and tasty without any additional sweetener or creamer!
positive,"For a former coffee shop owner, I'd like to think I have some discriminating taste when it comes to ""fast food"" coffee. I was quite happy with the quick version of a vanilla cappuccino, although I'd consider it more of a latte. I do like it even better if you brew the smaller cup of espresso through the machine."
positive,"I am really surprised that this products gets such a bad rap some times. It is not coffee, it is a coffee DRINK, and it is darn good. If you ever go to the grocery store and purchase a cappuccino drink that is ready to go and you just have to add hot water, this is<br />similar, and it is good!!! You could add a little whipped milk on the top if you want, but you don't have to!! I am very happy with this product!!!"
negative,"This entire line of products are crap! They are not real coffee, but instant. Do not waste your money. You can get a better product at ANY dollar store."
negative,"First of all, tasted pretty good. BUT, contacted a few Keurig K-Cup authorized on-line sellers and was told by all that Grove Square are NOT approved by Keurig and using them will void the warranty on your brewer. Was told they are a ""pirated"" product. Upon inspection, I discovered that the content are powdered milk, sugar, artificial flavors and INSTANT COFFEE! Not even real coffee. Not sure if I'll buy again but does taste like Cafe Vienna instant coffee products with the convenience of Keurig. All authorized on-line sellers cannot carry them due to contracts with Keurig. Guess, buy at your own risk."
negative,This is the first coffee I tried when I got my Keurig. I was so disappointed in the flavor; tasted like plastic (like drinking bottled water that was left in a hot car). I thought maybe I hadn't cleaned the Keurig enough so I put through more water and brewed another cup...same horrible taste. I would not recommend this brand to anyone.
negative,"This coffe is terrible, too sweet and it does not taste like Cappuccino at all. Save yourself some money and buy real coffee like the San Francisco Bay Fog Chaser for your Keurig. <a href=""http://www.amazon.com/gp/product/B005K4Q1YA"">Grove Square Cappuccino Cups, French Vanilla, Single Serve Cup for Keurig K-Cup Brewers, 24 Count</a>"
positive,This is a great product and was happy to find it online at a great price. I had originally bought it at Wal-Mart and was sad to see I could no longer purchase it there. There were great prices through Amazon and will definitely be purchasing more. The flavor is great!
